SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,C_ADDED,N_ADDED,PEAT_DEPTH,PEAT_TEMP,DISS_CH4_CONC,DISS_CO2_CONC,POREWATER_PH,SITE_COMMENTS,CRTFCN_CODE,REVISION_DATE
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,0,100,,23.09,1563.0,7.0,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,6,500,,692.48,3092.0,6.18,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,6,400,,655.82,2843.0,6.21,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,6,300,,297.01,2120.0,6.36,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,6,200,,45.18,1525.0,6.92,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,0,200,,100.7,1565.0,6.83,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,0,300,,759.61,2960.0,6.38,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,0,400,,612.15,3057.0,6.07,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,6,0,,3.7,1181.0,6.95,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,0,500,,414.21,4004.0,6.21,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,0,100,,23.93,1358.0,6.84,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,0,50,,21.19,1448.0,6.85,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1037,0,6,0,,15.78,9885.0,6.79,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1037,0,6,50,17.7,12.31,12120.0,6.86,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1037,0,6,200,17.2,9.12,12097.0,6.85,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1037,0,6,400,15.1,264.43,4848.0,6.24,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1037,0,6,500,13.9,526.23,6500.0,6.2,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1037,0,6,300,16.7,141.29,5431.0,6.41,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1037,0,6,100,17.5,1.01,12287.0,6.9,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1041,300,6,0,,1.48,1301.0,6.65,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1041,300,6,400,14.1,499.35,8845.0,5.93,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1041,300,6,500,12.9,379.8,9274.0,6.21,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1041,300,6,50,16.8,2.62,4055.0,6.64,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1041,300,6,200,16.5,31.98,8126.0,6.63,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1041,300,6,100,16.8,47.66,5525.0,6.9,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1041,300,6,300,15.7,248.39,3928.0,6.24,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1043,0,0,0,,6.19,3504.0,6.8,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1043,0,0,300,,116.82,1338.0,6.08,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1043,0,0,500,,636.28,7460.0,6.23,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1043,0,0,400,,485.0,8614.0,6.08,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
